feature,coef,abs_coef
updated_datetime_2025-04-07T17:13:09.336794-05:00,0.29153674180293554,0.29153674180293554
updated_datetime_2021-01-06T22:55:10.531130-06:00,-0.28487394487169565,0.28487394487169565
dem_updated_datetime_2021-01-06T22:55:10.531130-06:00,-0.28487394487169043,0.28487394487169043
any_metastasis,0.27687190464361716,0.27687190464361716
disease_type_transitional cell papillomas and carcinomas,-0.27155997413278243,0.27155997413278243
primary_site_bladder,-0.27155997413277916,0.27155997413277916
primary_site_rectum,0.25844300867829806,0.25844300867829806
dem_updated_datetime_infrequent_sklearn,0.25003506895491556,0.25003506895491556
updated_datetime_2023-02-22T07:39:25.979291-06:00,0.24779396526972994,0.24779396526972994
dem_updated_datetime_2023-02-22T07:39:25.979291-06:00,0.24779396526968167,0.24779396526968167
dem_updated_datetime_2023-11-07T14:20:00.017270-06:00,-0.23476920274329222,0.23476920274329222
updated_datetime_2023-11-07T14:20:00.017270-06:00,-0.2347692027432845,0.2347692027432845
primary_site_liver and intrahepatic bile ducts,0.23401544271088406,0.23401544271088406
primary_site_bronchus and lung,-0.22708492513604153,0.22708492513604153
last_days_to_follow_up,-0.2259560010552189,0.2259560010552189
dem_ethnicity_not reported,0.21991177989231653,0.21991177989231653
ethnicity_not reported,0.21991177989230315,0.21991177989230315
updated_datetime_2021-03-03T15:15:08.075155-06:00,0.21329253265780798,0.21329253265780798
dem_gender_male,0.20366312771153955,0.20366312771153955
dem_gender_female,-0.20366312771153502,0.20366312771153502
sex_male,0.20366312771153425,0.20366312771153425
sex_female,-0.20366312771153175,0.20366312771153175
dem_updated_datetime_2020-10-20T19:20:06.800740-05:00,-0.20205241451826111,0.20205241451826111
primary_site_pancreas,-0.1807989618329686,0.1807989618329686
any_chemo,-0.17730154679744767,0.17730154679744767
fam_hist_pos_any,-0.17491656470049755,0.17491656470049755
dem_race_not reported,0.15520578758351214,0.15520578758351214
dem_days_to_death,0.1551009040965703,0.1551009040965703
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,0.14847925417028787,0.14847925417028787
pack_years_smoked_max,0.14219634156173955,0.14219634156173955
dem_race_white,-0.07968471321762934,0.07968471321762934
dem_age_is_obfuscated,0.06911479412476519,0.06911479412476519
dem_race_asian,-0.06194886321954356,0.06194886321954356
mean_age_at_dx,0.05660579671495526,0.05660579671495526
n_treatments,0.04564255518208362,0.04564255518208362
dem_updated_datetime_2025-03-31T16:34:59.906497-05:00,-0.039450900398791164,0.039450900398791164
updated_datetime_2025-03-31T16:34:59.906497-05:00,-0.03945090039875884,0.03945090039875884
label,0.03849187353447132,0.03849187353447132
"disease_type_cystic, mucinous and serous neoplasms",-0.026670324639975894,0.026670324639975894
dem_ethnicity_hispanic or latino,-0.022281066062093787,0.022281066062093787
ethnicity_hispanic or latino,-0.022281066062068616,0.022281066062068616
any_radiation,0.01979738873690068,0.01979738873690068
dem_vital_status_Alive,-0.018674877907773186,0.018674877907773186
last_ajcc_stage_stage ib,-0.01614141658890912,0.01614141658890912
last_ajcc_stage_stage 0,0.001990024062293799,0.001990024062293799
