feature,coef,abs_coef
last_ajcc_stage_stage iib,-0.11645326330222827,0.11645326330222827
updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.11645326330222827,0.11645326330222827
dem_updated_datetime_2023-07-13T10:35:44.371881-05:00,-0.11645326330222827,0.11645326330222827
created_datetime_2021-02-18T16:42:42.069590-06:00,-0.11645326330222827,0.11645326330222827
created_datetime_2021-07-06T12:40:12.582209-05:00,-0.10757248550095548,0.10757248550095548
"disease_type_cystic, mucinous and serous neoplasms",-0.10517790036550709,0.10517790036550709
created_datetime_2019-02-19T09:28:44.251629-06:00,-0.10392647018171941,0.10392647018171941
created_datetime_2021-07-06T12:56:25.603764-05:00,-0.10196916014329771,0.10196916014329771
created_datetime_2019-05-30T12:29:20.081678-05:00,-0.09547065654041723,0.09547065654041723
any_chemo,-0.09300239385293768,0.09300239385293768
created_datetime_2022-11-07T08:35:49.832199-06:00,0.0902939174213043,0.0902939174213043
created_datetime_2020-07-01T12:55:21.307313-05:00,0.08835863571213898,0.08835863571213898
last_ajcc_stage_stage ivc,-0.08823879916135732,0.08823879916135732
dem_days_to_death,0.08066477227852635,0.08066477227852635
created_datetime_2020-05-29T12:07:57.849637-05:00,0.0806548007541874,0.0806548007541874
dem_year_of_birth,-0.07415097377696955,0.07415097377696955
created_datetime_2019-09-19T09:03:28.999181-05:00,-0.07278614533781418,0.07278614533781418
created_datetime_2019-09-25T09:21:09.012962-05:00,-0.06937659825575945,0.06937659825575945
created_datetime_2020-09-28T10:11:47.790068-05:00,-0.06448150397734802,0.06448150397734802
last_ajcc_stage_stage 0,-0.06443631880082336,0.06443631880082336
dem_race_black or african american,-0.0644128748699977,0.0644128748699977
created_datetime_2019-10-14T10:44:41.929835-05:00,-0.062275678355845875,0.062275678355845875
created_datetime_2021-12-09T13:17:04.025975-06:00,-0.06081120038083866,0.06081120038083866
dem_ethnicity_not reported,-0.060108201119410336,0.060108201119410336
ethnicity_not reported,-0.060108201119410336,0.060108201119410336
dem_race_not reported,-0.060108201119410336,0.060108201119410336
created_datetime_2020-10-30T18:10:22.887552-05:00,0.0593246683178283,0.0593246683178283
last_ajcc_stage_stage iiic,0.05850944353516104,0.05850944353516104
created_datetime_2021-11-10T16:56:13.165089-06:00,-0.055799990679867094,0.055799990679867094
created_datetime_2020-01-09T10:47:15.962830-06:00,-0.055378693611985025,0.055378693611985025
created_datetime_2020-09-28T09:36:26.618730-05:00,-0.05480895875318439,0.05480895875318439
created_datetime_2019-09-25T09:22:01.376865-05:00,-0.05459297097580267,0.05459297097580267
created_datetime_2020-03-06T08:39:23.421433-06:00,0.052957789189627,0.052957789189627
created_datetime_2021-11-10T17:32:22.132862-06:00,-0.05279824825378655,0.05279824825378655
dem_age_is_obfuscated,0.04929157824058668,0.04929157824058668
created_datetime_2020-05-21T08:49:54.193205-05:00,-0.04903858035277519,0.04903858035277519
created_datetime_2019-08-14T15:17:36.199824-05:00,-0.048016493574625375,0.048016493574625375
dem_gender_female,0.0441130781223724,0.0441130781223724
sex_female,0.0441130781223724,0.0441130781223724
dem_gender_male,-0.043642711468137536,0.043642711468137536
sex_male,-0.043642711468137536,0.043642711468137536
dem_updated_datetime_2020-10-08T19:01:21.919401-05:00,-0.04273294037721118,0.04273294037721118
created_datetime_2018-10-15T08:44:27.340686-05:00,-0.04273294037721118,0.04273294037721118
updated_datetime_2019-09-20T15:18:39.728084-05:00,-0.04273294037721118,0.04273294037721118
created_datetime_2020-09-28T09:37:26.712488-05:00,-0.04150364500504433,0.04150364500504433
created_datetime_2021-06-26T13:24:54.468899-05:00,0.041057970663810756,0.041057970663810756
last_ajcc_stage_stage iiia,-0.03928860394369988,0.03928860394369988
created_datetime_2021-12-09T14:01:41.107497-06:00,-0.03920021880858213,0.03920021880858213
created_datetime_2019-10-14T13:24:10.078043-05:00,-0.035236334828056284,0.035236334828056284
created_datetime_2019-09-25T09:22:18.104158-05:00,-0.03480709735707835,0.03480709735707835
created_datetime_2019-08-14T15:17:16.838263-05:00,-0.03466880313923162,0.03466880313923162
created_datetime_2019-10-14T10:45:09.239681-05:00,-0.034367558233691954,0.034367558233691954
created_datetime_2020-05-21T08:48:29.718065-05:00,-0.03314494178658584,0.03314494178658584
created_datetime_2019-10-14T10:43:12.200892-05:00,-0.032122825327624976,0.032122825327624976
created_datetime_2021-06-03T11:46:36.356189-05:00,-0.031801168680018546,0.031801168680018546
created_datetime_2020-05-21T08:54:53.095445-05:00,-0.031017326556723634,0.031017326556723634
created_datetime_2020-01-09T10:47:05.365322-06:00,-0.029506875287617258,0.029506875287617258
created_datetime_2019-10-14T13:24:23.443889-05:00,-0.028383050117041578,0.028383050117041578
updated_datetime_2021-09-07T12:07:49.315925-05:00,-0.028383050117041578,0.028383050117041578
dem_updated_datetime_2023-03-13T12:42:37.747223-05:00,0.02810181374111953,0.02810181374111953
created_datetime_2020-01-09T10:47:26.875137-06:00,-0.027790685975016157,0.027790685975016157
created_datetime_2021-06-03T11:53:01.280748-05:00,-0.02682577540316949,0.02682577540316949
dem_updated_datetime_2023-11-07T14:28:29.403873-06:00,0.02597184777203958,0.02597184777203958
updated_datetime_2023-11-07T14:28:29.403873-06:00,0.02597184777203958,0.02597184777203958
created_datetime_2019-02-19T09:29:54.783008-06:00,-0.025935547917809634,0.025935547917809634
dem_updated_datetime_2021-01-06T22:55:10.531130-06:00,-0.025935547917809634,0.025935547917809634
updated_datetime_2021-01-06T22:55:10.531130-06:00,-0.025935547917809634,0.025935547917809634
created_datetime_2019-10-14T13:23:55.351587-05:00,-0.02592702522579608,0.02592702522579608
dem_updated_datetime_2020-10-08T19:01:01.366463-05:00,-0.023996436265035198,0.023996436265035198
updated_datetime_2019-09-20T15:18:33.756018-05:00,-0.023996436265035198,0.023996436265035198
created_datetime_2018-10-02T15:55:47.028000-05:00,-0.023996436265035198,0.023996436265035198
created_datetime_2022-09-22T07:11:49.222712-05:00,-0.023910231440925356,0.023910231440925356
last_ajcc_stage_stage ivb,-0.023338995986502256,0.023338995986502256
created_datetime_2021-11-10T16:23:36.918709-06:00,-0.023338995986502256,0.023338995986502256
created_datetime_2020-10-30T18:21:48.040304-05:00,-0.023314585308975698,0.023314585308975698
created_datetime_2021-11-10T16:52:25.521302-06:00,-0.022863262880668374,0.022863262880668374
mean_age_at_dx_years,-0.022335593352886058,0.022335593352886058
created_datetime_2020-10-30T18:01:58.863225-05:00,-0.021385616433268386,0.021385616433268386
weight_last,-0.020636540173244226,0.020636540173244226
dem_updated_datetime_2023-03-13T13:23:29.898758-05:00,0.01904985618078793,0.01904985618078793
created_datetime_2020-01-08T16:05:41.171753-06:00,0.01904985618078793,0.01904985618078793
created_datetime_2021-06-10T04:24:14.236070-05:00,0.01726117840621485,0.01726117840621485
dem_updated_datetime_2020-10-08T18:59:08.767031-05:00,-0.016221844025643313,0.016221844025643313
created_datetime_2019-02-22T10:28:53.272142-06:00,-0.016221844025643313,0.016221844025643313
updated_datetime_2020-02-11T14:36:35.999470-06:00,-0.016221844025643313,0.016221844025643313
dem_updated_datetime_2023-03-13T13:28:42.971924-05:00,0.014147226499452548,0.014147226499452548
created_datetime_2021-07-06T12:43:41.557383-05:00,-0.013646312851738512,0.013646312851738512
created_datetime_2021-12-09T14:39:38.981374-06:00,-0.012762392189943322,0.012762392189943322
created_datetime_2020-05-21T08:52:33.608456-05:00,-0.01241356203976672,0.01241356203976672
created_datetime_2021-06-03T11:47:17.696938-05:00,-0.012348436965362327,0.012348436965362327
created_datetime_2019-09-19T09:04:34.828709-05:00,0.011103424121664384,0.011103424121664384
dem_updated_datetime_2023-03-13T13:31:57.284717-05:00,0.011103424121664384,0.011103424121664384
created_datetime_2020-02-11T15:50:56.392198-06:00,0.010463876591342045,0.010463876591342045
dem_updated_datetime_2023-03-13T13:07:45.303588-05:00,0.010463876591342045,0.010463876591342045
created_datetime_2020-05-21T08:53:04.040357-05:00,-0.010126243457985691,0.010126243457985691
dem_updated_datetime_2021-03-03T15:15:08.075155-06:00,-0.010126243457985691,0.010126243457985691
updated_datetime_2021-03-03T15:15:08.075155-06:00,-0.010126243457985691,0.010126243457985691
created_datetime_2020-02-27T12:19:29.618761-06:00,0.009405142847598752,0.009405142847598752
dem_updated_datetime_2023-03-13T12:58:10.374489-05:00,0.009405142847598752,0.009405142847598752
created_datetime_2021-06-03T11:54:43.108478-05:00,-0.009379731580812895,0.009379731580812895
dem_updated_datetime_2023-03-13T13:16:49.397673-05:00,0.009060388988864241,0.009060388988864241
created_datetime_2020-02-11T15:57:56.567720-06:00,0.009060388988864241,0.009060388988864241
created_datetime_2022-10-04T13:56:23.578775-05:00,-0.00826541694166226,0.00826541694166226
dem_updated_datetime_2023-03-13T12:50:01.478871-05:00,0.008251715991882277,0.008251715991882277
created_datetime_2020-02-11T15:31:58.093766-06:00,0.008251715991882277,0.008251715991882277
"disease_type_epithelial neoplasms, nos",0.007091893203798549,0.007091893203798549
updated_datetime_2023-03-13T12:48:22.226715-05:00,0.007091893203798549,0.007091893203798549
dem_updated_datetime_2023-03-13T12:48:22.226715-05:00,0.007091893203798549,0.007091893203798549
created_datetime_2020-02-11T15:52:57.509024-06:00,0.006251746535860313,0.006251746535860313
created_datetime_2021-06-26T16:39:07.543061-05:00,0.005937792670093928,0.005937792670093928
dem_updated_datetime_2023-03-13T13:04:20.351769-05:00,0.005342019537777182,0.005342019537777182
created_datetime_2020-10-30T18:12:57.891041-05:00,-0.004921045710007927,0.004921045710007927
updated_datetime_2025-04-07T17:13:09.336794-05:00,-0.004388245302337639,0.004388245302337639
dem_updated_datetime_2025-04-07T17:13:09.336794-05:00,-0.004388245302337639,0.004388245302337639
created_datetime_2019-09-19T09:04:18.502699-05:00,0.004216490876719917,0.004216490876719917
dem_updated_datetime_2023-03-13T13:33:35.410702-05:00,0.004216490876719917,0.004216490876719917
dem_updated_datetime_2023-02-22T07:39:25.979291-06:00,-0.0025643551927274446,0.0025643551927274446
any_metastasis,-0.0011636527337630857,0.0011636527337630857
dem_cause_of_death_Cancer Related,0.0004703666542349423,0.0004703666542349423
